,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
0,7,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,IL,Macon,GEN1,ST,OP,62.0,58.1,62.0,,1,1989,BIT,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,NG,,,,Illinois Power Co,311,39.84919,-88.931944
1,8,Tate & Lyle Ingredients Americas Inc,50903,Sagamore Plant Cogeneration,IN,Tippecanoe,GEN1,ST,OP,7.4,7.4,7.4,,10,1984,BIT,,,,,,N,N,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,NG,,,,Duke Energy Indiana Inc,311,40.4439,-86.86
2,21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,Leflore,GEN1,ST,OP,175.0,160.0,160.0,,9,1990,BIT,SUB,NG,,,,N,Y,,S,,Y,IPP CHP,3,B,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,NG,,,,OG&E Electric Services Inc,22,35.1931,-94.6458
3,21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,Leflore,GEN2,ST,OP,175.0,160.0,160.0,,11,1990,BIT,SUB,NG,,,,N,Y,,S,,Y,IPP CHP,3,B,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,NG,,,,OG&E Electric Services Inc,22,35.1931,-94.6458
4,25,GMM Holdings 1 LLC,2527,GMMGreenidge LLC,NY,Yates,4,ST,OP,112.5,107.5,106.3,,12,1953,BIT,WDS,NG,SUB,,,Y,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,DFO,,,,New York State Elec & Gas Corp,22,42.6789,-76.9483
8,35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,MD,Allegany,GEN1,ST,OP,229.0,180.0,180.0,,8,1999,BIT,DFO,,,,,N,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,DFO,,,,FirstEnergy Co,22,39.595171,-78.745333
11,52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CA,San Bernardino,GEN1,ST,OP,108.0,101.2,101.5,,9,1990,BIT,PC,,,,,Y,Y,,J,,Y,IPP CHP,3,T,,Y,,,,,,,,,,,,,,,,11.0,2015.0,N,,Y,Y,,,,NG,,,,Southern California Edison Co,22,35.765767,-117.38358400000001
25,142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN2,ST,OP,35.0,32.0,31.5,,7,1987,BIT,PC,,,,,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Duquesne Light Co,22,40.657218,-80.35392900000001
26,142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN3,ST,OP,114.0,114.0,120.0,,7,1987,BIT,PC,,,,,Y,Y,,S,,Y,IPP CHP,3,B,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Duquesne Light Co,22,40.657218,-80.35392900000001
36,177,AES Hawaii Inc,10673,AES Hawaii,HI,Honolulu,GEN1,ST,OP,203.0,180.0,180.0,,5,1992,BIT,WO,TDF,DFO,SUB,OBS,Y,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,N,,,,,N,,Y,,,,,DFO,,,,Hawaiian Electric Co Inc,22,21.303419,-158.106528
