,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
914,1307,Basin Electric Power Coop,2817,Leland Olds,ND,Mercer,1,ST,OP,216.0,222.0,222.0,,1,1966,LIG,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Basin Electric Power Coop,22,47.371389,-101.83444399999999
915,1307,Basin Electric Power Coop,2817,Leland Olds,ND,Mercer,2,ST,OP,440.0,445.0,445.0,,12,1975,LIG,SUB,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Basin Electric Power Coop,22,47.371389,-101.83444399999999
921,1307,Basin Electric Power Coop,6469,Antelope Valley,ND,Mercer,1,ST,OP,434.9,450.0,450.0,,7,1984,LIG,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Basin Electric Power Coop,22,47.2819,-101.3194
922,1307,Basin Electric Power Coop,6469,Antelope Valley,ND,Mercer,2,ST,OP,434.9,450.0,450.0,,7,1986,LIG,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Basin Electric Power Coop,22,47.2819,-101.3194
1799,3265,Cleco Power LLC,51,Dolet Hills,LA,De Soto,1,ST,OP,720.7,638.0,638.0,,4,1986,LIG,,,,,,N,Y,,J,,N,Electric Utility,1,,N,Y,,,,,,,,,,,,,Y,5.0,2014.0,,,N,Y,,Y,,,,NG,PG,,,Cleco Power LLC,22,32.030556,-93.56916700000001
1953,3593,Choctaw Generating LP,55076,Red Hills Generating Facility,MS,Choctaw,RHGF,ST,OP,513.7,440.0,440.0,,4,2001,LIG,NG,,,,,N,Y,,W,1.0,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,NG,,,,Tennessee Valley Authority,22,33.3761,-89.2183
4721,7570,Great River Energy,6030,Coal Creek,ND,McLean,1,ST,OP,604.8,562.0,562.0,,6,1979,LIG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,,,,,Great River Energy,22,47.377743,-101.15705799999999
4722,7570,Great River Energy,6030,Coal Creek,ND,McLean,2,ST,OP,604.8,576.0,576.0,,9,1980,LIG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,,,,,Great River Energy,22,47.377743,-101.15705799999999
6836,12199,Montana-Dakota Utilities Co,2790,R M Heskett,ND,Morton,1,ST,OP,40.0,29.5,29.5,,11,1954,LIG,SUB,TDF,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,Y,N,Y,,,,,,,,Montana-Dakota Utilities Co,22,46.8669,-100.8836
6837,12199,Montana-Dakota Utilities Co,2790,R M Heskett,ND,Morton,2,ST,OP,75.0,74.8,74.8,,11,1963,LIG,SUB,TDF,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,Montana-Dakota Utilities Co,22,46.8669,-100.8836
6838,12199,Montana-Dakota Utilities Co,6089,Lewis & Clark,MT,Richland,1,ST,OP,50.0,53.1,44.0,,10,1958,LIG,NG,,,,,Y,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,Montana-Dakota Utilities Co,22,47.6785,-104.15665
7251,12658,"Minnkota Power Coop, Inc",2823,Milton R Young,ND,Oliver,1,ST,OP,257.0,250.0,250.0,,10,1970,LIG,DFO,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,N,,Y,N,,,DFO,,,,"Minnkota Power Coop, Inc",22,47.065853999999995,-101.213093
7252,12658,"Minnkota Power Coop, Inc",2823,Milton R Young,ND,Oliver,2,ST,OP,477.0,447.0,455.0,,4,1977,LIG,DFO,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,N,,Y,N,,,DFO,,,,"Minnkota Power Coop, Inc",22,47.065853999999995,-101.213093
8297,14232,Otter Tail Power Co,8222,Coyote,ND,Mercer,1,ST,OP,450.0,427.0,427.0,,5,1981,LIG,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,DFO,,,,Otter Tail Power Co,22,47.221447,-101.815722
10054,16624,"San Miguel Electric Coop, Inc",6183,San Miguel,TX,Atascosa,1,ST,OP,410.0,391.0,391.0,,1,1982,LIG,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Brazos Electric Power Coop Inc,22,28.7044,-98.4775
10873,17698,Southwestern Electric Power Co,7902,Pirkey,TX,Harrison,1,ST,OP,721.0,721.0,721.0,,1,1985,LIG,SUB,,,,,N,Y,,J,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Southwestern Electric Power Co,22,32.4607,-94.4852
15495,54888,NRG Texas Power LLC,298,Limestone,TX,Limestone,1,ST,OP,893.0,831.0,831.0,,12,1985,LIG,SUB,NG,PC,,,Y,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,"CenterPoint Energy Houston Electric, LLC",22,31.4219,-96.2525
15496,54888,NRG Texas Power LLC,298,Limestone,TX,Limestone,2,ST,OP,956.8,858.0,858.0,,12,1986,LIG,SUB,NG,PC,,,Y,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,"CenterPoint Energy Houston Electric, LLC",22,31.4219,-96.2525
16610,55983,Luminant Generation Company LLC,6146,Martin Lake,TX,Rusk,1,ST,OP,793.2,800.0,815.0,,5,1977,LIG,SUB,DFO,,,,Y,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,32.2606,-94.5706
16611,55983,Luminant Generation Company LLC,6146,Martin Lake,TX,Rusk,2,ST,OP,793.2,805.0,820.0,,5,1978,LIG,SUB,DFO,,,,Y,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,32.2606,-94.5706
16612,55983,Luminant Generation Company LLC,6146,Martin Lake,TX,Rusk,3,ST,OP,793.2,805.0,820.0,,4,1979,LIG,SUB,DFO,,,,Y,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,32.2606,-94.5706
16613,55983,Luminant Generation Company LLC,6147,Monticello,TX,Titus,1,ST,OP,593.4,535.0,580.0,,12,1974,LIG,SUB,DFO,,,,Y,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,33.0917,-95.0417
16614,55983,Luminant Generation Company LLC,6147,Monticello,TX,Titus,2,ST,OP,593.4,535.0,580.0,,12,1975,LIG,SUB,DFO,,,,Y,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,33.0917,-95.0417
16615,55983,Luminant Generation Company LLC,6147,Monticello,TX,Titus,3,ST,OP,793.2,795.0,795.0,,6,1995,LIG,SUB,DFO,,,,Y,Y,,W,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,33.0917,-95.0417
16616,55983,Luminant Generation Company LLC,6648,Sandow No 4,TX,Milam,4,ST,OP,590.6,600.0,600.0,,5,1981,LIG,DFO,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Oncor,22,30.565871,-97.064032
17380,56598,Optim Energy LLC,7030,Twin Oaks Power One,TX,Robertson,1,ST,OP,174.6,152.0,153.0,,9,1990,LIG,NG,SUB,PC,,,Y,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,Y,Y,,,,NG,,,,Public Service Co of NM,22,31.091925,-96.69503
17381,56598,Optim Energy LLC,7030,Twin Oaks Power One,TX,Robertson,2,ST,OP,174.6,153.0,154.0,,10,1991,LIG,NG,SUB,PC,,,Y,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,Y,Y,,,,NG,,,,Public Service Co of NM,22,31.091925,-96.69503
17799,56884,Big Brown Power Company LLC,3497,Big Brown,TX,Freestone,1,ST,OP,593.4,600.0,606.0,,12,1971,LIG,SUB,NG,DFO,,,Y,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,NG,,,,Oncor,22,31.8206,-96.0544
17800,56884,Big Brown Power Company LLC,3497,Big Brown,TX,Freestone,2,ST,OP,593.4,595.0,602.0,,12,1972,LIG,SUB,NG,DFO,,,Y,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,NG,,,,Oncor,22,31.8206,-96.0544
18103,57097,Oak Grove Management Co LLC,6180,Oak Grove,TX,Robertson,OG1,ST,OP,916.8,840.0,840.0,,4,2010,LIG,NG,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,,,,,Oncor,22,31.1803,-96.4866
18104,57097,Oak Grove Management Co LLC,6180,Oak Grove,TX,Robertson,OG2,ST,OP,878.6,825.0,825.0,,4,2011,LIG,NG,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,,,,,Oncor,22,31.1803,-96.4866
18105,57098,Sandow Power Co LLC,52071,Sandow No 5,TX,Milam,5,ST,OP,661.5,570.0,570.0,,1,2010,LIG,DFO,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,,,,,,N,Y,Y,,,,,,,,,Oncor,22,30.5681,-97.0614
18360,57296,Sidney Sugars Incorporated,57914,Sidney MT Plant,MT,Richland,1,ST,OP,2.0,,2.0,,9,1950,LIG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,,N,,,,,,,,,,,,,,,,,,N,Y,,,,,,LIG,WDS,PG,,Sidney Sugars Incorporated,311,47.717222,-104.13555600000001
18361,57296,Sidney Sugars Incorporated,57914,Sidney MT Plant,MT,Richland,2,ST,OP,2.0,,2.0,,9,1950,LIG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,,N,,,,,,,,,,,,,,,,,,N,Y,N,,,,,LIG,WDS,PG,,Sidney Sugars Incorporated,311,47.717222,-104.13555600000001
