,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
142,195,Alabama Power Co,6001,Joseph M Farley,AL,Houston,1,ST,OP,888.2,874.0,874.0,,12,1977,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama Power Co,22,31.2231,-85.1116
143,195,Alabama Power Co,6001,Joseph M Farley,AL,Houston,2,ST,OP,888.2,860.0,860.0,,7,1981,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama Power Co,22,31.2231,-85.1116
678,803,Arizona Public Service Co,6008,Palo Verde,AZ,Maricopa,1,ST,OP,"1,403.1","1,311.0","1,311.0",,1,1986,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,NUC,,,,Salt River Project,22,33.3881,-112.8617
679,803,Arizona Public Service Co,6008,Palo Verde,AZ,Maricopa,2,ST,OP,"1,403.1","1,314.0","1,314.0",,9,1986,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,NUC,,,,Salt River Project,22,33.3881,-112.8617
680,803,Arizona Public Service Co,6008,Palo Verde,AZ,Maricopa,3,ST,OP,"1,403.1","1,312.0","1,312.0",,1,1988,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,NUC,,,,Salt River Project,22,33.3881,-112.8617
757,814,Entergy Arkansas Inc,8055,Arkansas Nuclear One,AR,Pope,1,ST,OP,902.5,836.0,851.0,,12,1974,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,DFO,,,,Entergy Arkansas Inc,22,35.311,-93.2351
758,814,Entergy Arkansas Inc,8055,Arkansas Nuclear One,AR,Pope,2,ST,OP,942.5,992.0,"1,005.0",,3,1980,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entergy Arkansas Inc,22,35.311,-93.2351
1547,2876,Calvert Cliffs Nuclear PP LLC,6011,Calvert Cliffs Nuclear Power Plant,MD,Calvert,1,ST,OP,918.0,866.0,872.0,,5,1975,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Baltimore Gas & Electric Co,22,38.4344,-76.4417
1548,2876,Calvert Cliffs Nuclear PP LLC,6011,Calvert Cliffs Nuclear Power Plant,MD,Calvert,2,ST,OP,910.7,850.0,862.0,,4,1977,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Baltimore Gas & Electric Co,22,38.4344,-76.4417
1659,3046,Progress Energy Carolinas Inc,3251,H B Robinson,SC,Darlington,2,ST,OP,768.6,741.0,797.0,,3,1971,NUC,,,,,,N,Y,Y,S,,N,Electric Utility,1,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,DFO,,,,Progress Energy Carolinas Inc,22,34.4017,-80.1589
