,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
9,40,Hospira Inc,55788,Hospira Inc,NY,ERIE,GEN1,IC,SB,1.1,1.1,1.1,,1,1995,NG,,,,,,N,N,N,S,,N,Industrial Non-CHP,6,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,New York State Elec & Gas Corp,326,42.9167,-78.7333
10,40,Hospira Inc,55788,Hospira Inc,NY,ERIE,GEN2,IC,SB,1.1,1.1,1.1,,1,1995,NG,,,,,,N,N,N,S,,N,Industrial Non-CHP,6,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,New York State Elec & Gas Corp,326,42.9167,-78.7333
12,82,Ada Cogeneration Ltd Partnership,10819,Ada Cogeneration LP,MI,Kent,GEN1,CT,OP,23.0,23.0,23.0,,10,1990,NG,,,,,,N,Y,,S,,Y,IPP CHP,3,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consumers Energy Co,22,42.962672,-85.49407099999999
13,82,Ada Cogeneration Ltd Partnership,10819,Ada Cogeneration LP,MI,Kent,GEN2,CA,OP,10.1,6.4,7.0,,10,1990,NG,,,,,,N,Y,,S,,Y,IPP CHP,3,T,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Consumers Energy Co,22,42.962672,-85.49407099999999
20,88,Granite Ridge Energy LLC,55170,Granite Ridge,NH,Rockingham,CT11,CT,OP,300.0,222.0,263.0,,3,2003,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Public Service Co of NH,22,42.9042,-71.4261
21,88,Granite Ridge Energy LLC,55170,Granite Ridge,NH,Rockingham,CT12,CT,OP,300.0,222.0,263.0,,3,2003,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Public Service Co of NH,22,42.9042,-71.4261
22,88,Granite Ridge Energy LLC,55170,Granite Ridge,NH,Rockingham,STG,CA,OP,300.0,234.0,271.0,,3,2003,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Public Service Co of NH,22,42.9042,-71.4261
30,164,AERA Energy LLC,50752,South Belridge Cogeneration Facility,CA,Kern,GEN1,GT,OP,31.4,19.0,21.0,,12,1985,NG,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,211,35.438611,-119.7075
31,164,AERA Energy LLC,50752,South Belridge Cogeneration Facility,CA,Kern,GEN2,GT,OP,31.4,19.0,21.0,,12,1985,NG,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,211,35.438611,-119.7075
32,164,AERA Energy LLC,50752,South Belridge Cogeneration Facility,CA,Kern,GEN3,GT,OP,31.4,19.0,21.0,,12,1986,NG,,,,,,N,Y,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,211,35.438611,-119.7075
33,164,AERA Energy LLC,52077,Lost Hills Cogeneration Plant,CA,Kern,GEN4,GT,OP,3.5,2.7,3.0,,10,1985,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,211,35.666111,-119.766944
34,164,AERA Energy LLC,52077,Lost Hills Cogeneration Plant,CA,Kern,GEN5,GT,OP,3.5,2.7,3.0,,10,1985,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,211,35.666111,-119.766944
35,164,AERA Energy LLC,52077,Lost Hills Cogeneration Plant,CA,Kern,GEN6,GT,OP,3.5,2.7,3.0,,10,1985,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Pacific Gas & Electric Co,211,35.666111,-119.766944
37,178,CES Placerita Inc,10677,CES Placerita Power Plant,CA,Los Angeles,UNT2,CT,OS,60.0,46.0,50.0,,6,1988,NG,,,,,,N,N,N,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Southern California Edison Co,22,34.3801,-118.4999
38,178,CES Placerita Inc,10677,CES Placerita Power Plant,CA,Los Angeles,UNT3,CA,OS,30.0,23.0,25.0,,6,1988,NG,,,,,,N,N,N,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Southern California Edison Co,22,34.3801,-118.4999
39,179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744A,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homer Electric Assn Inc,325311,60.6732,-151.3784
40,179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744B,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homer Electric Assn Inc,325311,60.6732,-151.3784
41,179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744C,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homer Electric Assn Inc,325311,60.6732,-151.3784
42,179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744D,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homer Electric Assn Inc,325311,60.6732,-151.3784
43,179,Agrium US Inc,54452,Agrium Kenai Nitrogen Operations,AK,Kenai Peninsula,744E,GT,OS,2.5,2.5,2.5,,10,1977,NG,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homer Electric Assn Inc,325311,60.6732,-151.3784
52,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,1,CA,OP,7.5,10.0,10.0,,12,1954,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
53,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,2,CA,OP,7.5,10.0,10.0,,12,1954,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
54,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,3,CA,OP,25.0,20.0,20.0,,8,1959,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,Y,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
55,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,4,CT,OP,107.0,109.0,119.0,,12,1996,NG,DFO,,,,,Y,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
56,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,VAN1,CT,OP,165.0,163.0,177.0,,1,2002,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
57,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,VAN2,CT,OP,165.0,163.0,177.0,,1,2002,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
58,189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,VAN3,CA,OP,177.0,175.0,185.0,,1,2002,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.400254999999998,-86.476449
59,189,PowerSouth Energy Cooperative,7063,McIntosh,AL,Washington,1,CE,OP,110.0,110.0,110.0,,6,1991,NG,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,PowerSouth Energy Cooperative,22,31.2546,-88.0299
