,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
23,109,Ag Processing Inc,10223,AG Processing Inc,IA,Wright,E.C.,ST,OP,8.5,8.5,8.5,,1,1982,SUB,,,,,,N,Y,,S,,Y,Industrial CHP,7,B,N,N,,,,,,,,,,,,,,,,,,N,,,Y,,,,SUB,,,,MidAmerican Energy Co,311,42.665941,-93.902606
144,195,Alabama Power Co,6002,James H Miller Jr,AL,Jefferson,1,ST,OP,705.5,672.6,672.6,,10,1978,SUB,WC,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Alabama Power Co,22,33.6319,-87.0597
145,195,Alabama Power Co,6002,James H Miller Jr,AL,Jefferson,2,ST,OP,705.5,664.6,664.6,,5,1985,SUB,WC,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Alabama Power Co,22,33.6319,-87.0597
146,195,Alabama Power Co,6002,James H Miller Jr,AL,Jefferson,3,ST,OP,705.5,669.0,669.0,,5,1989,SUB,WC,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Alabama Power Co,22,33.6319,-87.0597
147,195,Alabama Power Co,6002,James H Miller Jr,AL,Jefferson,4,ST,OP,705.5,669.0,669.0,,3,1991,SUB,WC,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,NG,,,,Alabama Power Co,22,33.6319,-87.0597
438,491,American Crystal Sugar Co,54210,American Crystal Sugar Hillsboro,ND,Traill,G1,ST,OP,13.3,13.3,13.3,,9,1990,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,N,,,,,N,,Y,,,,,SUB,,,,Nodak Electric Coop Inc,311,47.437562,-97.06311
439,491,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,MN,Clay,G1,ST,OP,3.0,3.0,3.0,,9,1948,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,City of Moorhead,311,46.9026,-96.76111999999999
440,491,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,MN,Clay,G2,ST,OP,2.0,2.0,2.0,,9,1961,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,City of Moorhead,311,46.9026,-96.76111999999999
441,491,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,MN,Polk,G1,ST,OP,3.5,3.5,3.5,,9,1954,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,Otter Tail Power Co,311,47.76468,-96.633375
442,491,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,MN,Polk,G2,ST,OP,3.0,3.0,3.0,,9,1975,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,Otter Tail Power Co,311,47.76468,-96.633375
443,491,American Crystal Sugar Co,54213,American Crystal Sugar Drayton,ND,Pembina,G1,ST,OP,6.0,6.0,6.0,,9,1965,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,Nodak Electric Coop Inc,311,48.593158,-97.17608
444,491,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,MN,Polk,G1,ST,OP,2.5,2.5,2.5,,9,1990,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,East Grand Forks City of,311,47.927202,-97.007153
445,491,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,MN,Polk,G2,ST,OP,5.0,5.0,5.0,,9,1990,SUB,,,,,,N,N,,S,,Y,Industrial CHP,7,T,N,N,,,,,,,,,,,,,,,,,,N,,Y,,,,,SUB,,,,East Grand Forks City of,311,47.927202,-97.007153
450,520,Ameren Energy Generating Co,861,Coffeen,IL,Montgomery,1,ST,OP,388.9,330.0,335.0,,12,1965,SUB,BIT,,,,,N,Y,Y,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Central Illinois Pub Serv Co,22,39.0586,-89.4031
