,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
646,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PV1,PV,OP,0.1,0.1,0.1,,3,1998,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,33.4225,-111.9122
647,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PV2,PV,OP,0.1,0.1,0.1,,10,1999,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,33.4225,-111.9122
648,803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PVM,PV,OP,0.4,0.4,0.4,,4,1988,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,33.4225,-111.9122
664,803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,PV1,OT,OP,1.0,1.0,1.0,,12,2005,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,4.0,2013.0,N,,,,,,,,,,,Arizona Public Service Co,22,32.5517,-111.3
697,803,Arizona Public Service Co,56228,Prescott Airport,AZ,Yavapai,PV1,PV,OP,2.1,2.1,2.1,,10,2002,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,34.6584,-112.4008
698,803,Arizona Public Service Co,57560,Chino Solar Valley,AZ,Yavapai,PV1,PV,OP,7.0,7.0,7.0,,12,2012,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,34.71843,-112.42898999999998
699,803,Arizona Public Service Co,57561,Cotton Center Solar,AZ,Maricopa,PV1,PV,OP,17.0,17.0,14.0,,11,2011,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,33.034721999999995,-112.661667
700,803,Arizona Public Service Co,57562,Paloma Solar,AZ,Maricopa,PV1,PV,OP,17.0,17.0,17.0,,9,2011,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,33.021111,-112.66138899999999
701,803,Arizona Public Service Co,57563,Hyder Solar,AZ,Yuma,PV1,PV,OP,11.0,11.0,11.0,,11,2011,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Arizona Public Service Co,22,33.025659999999995,-113.34397
702,803,Arizona Public Service Co,57563,Hyder Solar,AZ,Yuma,PV2,PV,OP,5.0,5.0,5.0,,2,2012,SUN,,,,,,N,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Public Service Co,22,33.025659999999995,-113.34397
